N    Z    A    Elt.   Mass                        
  1    0    1 n       1008664.91590     0.00047
  0    1    1 H       1007825.031898    0.000014
  1    1    2 H       2014101.777844    0.000015
  2    1    3 H       3016049.28132     0.00008
  1    2    3 He      3016029.32197     0.00006
  0    3    3 Li      3030775#       2147#
  3    1    4 H       4026431.867     107.354
  2    2    4 He      4002603.25413     0.00016
  1    3    4 Li      4027185.561     227.733
  4    1    5 H       5035311.492      96.020
  3    2    5 He      5012057.224      21.470
  2    3    5 Li      5012537.800      53.677
  1    4    5 Be      5039870#       2150#
  5    1    6 H       6044955.437     272.816
  4    2    6 He      6018885.889       0.057
  3    3    6 Li      6015122.88742     0.00155
  2    4    6 Be      6019726.409       5.848
  1    5    6 B       6050800#       2150#
  6    1    7 H       7052749#       1078#
  5    2    7 He      7027990.652       8.115
  4    3    7 Li      7016003.43426     0.00450
  3    4    7 Be      7016928.714       0.076
  2    5    7 B       7029712.000      27.000
  6    2    8 He      8033934.388       0.095
  5    3    8 Li      8022486.244       0.050
  4    4    8 Be      8005305.102       0.037
  3    5    8 B       8024607.315       1.073
  2    6    8 C       8037643.039      19.584
  7    2    9 He      9043946.414      50.259
  6    3    9 Li      9026790.191       0.200
  5    4    9 Be      9012183.062       0.082
  4    5    9 B       9013329.645       0.969
  3    6    9 C       9031037.202       2.293
  8    2   10 He     10052815.306      99.676
  7    3   10 Li     10035483.453      13.656
  6    4   10 Be     10013534.692       0.086
  5    5   10 B      10012936.862       0.016
  4    6   10 C      10016853.217       0.075
  3    7   10 N      10041653.540     429.417
  8    3   11 Li     11043723.581       0.660
  7    4   11 Be     11021661.080       0.255
  6    5   11 B      11009305.166       0.013
  5    6   11 C      11011432.597       0.064
  4    7   11 N      11026157.593       5.368
  3    8   11 O      11051249.828      64.453
  9    3   12 Li     12052613.942      32.213
  8    4   12 Be     12026922.082       2.048
  7    5   12 B      12014352.638       1.418
  6    6   12 C      12000000.0         0.0
  5    7   12 N      12018613.180       1.073
  4    8   12 O      12034367.726      12.882
 10    3   13 Li     13061171.503      75.150
  9    4   13 Be     13036134.506      10.929
  8    5   13 B      13017779.981       1.073
  7    6   13 C      13003354.83534     0.00025
  6    7   13 N      13005738.609       0.289
  5    8   13 O      13024815.435      10.226
  4    9   13 F      13045121#        537#
 10    4   14 Be     14042892.920     141.970
  9    5   14 B      14025404.010      22.773
  8    6   14 C      14003241.98862     0.00403
  7    7   14 N      14003074.00425     0.00024
  6    8   14 O      14008596.706       0.027
  5    9   14 F      14034315.196      44.142
 11    4   15 Be     15053490.215     177.990
 10    5   15 B      15031087.023      22.575
  9    6   15 C      15010599.256       0.858
  8    7   15 N      15000108.89827     0.00062
  7    8   15 O      15003065.636       0.526
  6    9   15 F      15017785.139      15.029
  5   10   15 Ne     15043172.977      71.588
 12    4   16 Be     16061672.036     177.990
 11    5   16 B      16039841.045      26.373
 10    6   16 C      16014701.255       3.840
  9    7   16 N      16006101.925       2.470
  8    8   16 O      15994914.61926     0.00032
  7    9   16 F      16011460.278       5.758
  6   10   16 Ne     16025750.860      21.986
 12    5   17 B      17046931.399     219.114
 11    6   17 C      17022578.650      18.641
 10    7   17 N      17008448.876      16.103
  9    8   17 O      16999131.75595     0.00069
  8    9   17 F      17002095.237       0.266
  7   10   17 Ne     17017713.962       0.380
  6   11   17 Na     17037273.000      64.000
 13    5   18 B      18055601.683     219.180
 12    6   18 C      18026751.930      32.206
 11    7   18 N      18014077.563      19.935
 10    8   18 O      17999159.61214     0.00069
  9    9   18 F      18000937.324       0.497
  8   10   18 Ne     18005708.696       0.390
  7   11   18 Na     18026879.388     100.785
 14    5   19 B      19064166.000     564.000
 13    6   19 C      19034797.594     105.625
 12    7   19 N      19017022.389      17.610
 11    8   19 O      19003577.969       2.830
 10    9   19 F      18998403.16207     0.00088
  9   10   19 Ne     19001880.906       0.171
  8   11   19 Na     19013880.264      11.309
  7   12   19 Mg     19034179.920      64.413
 15    5   20 B      20074505.644     586.538
 14    6   20 C      20040261.732     247.585
 13    7   20 N      20023367.295      84.696
 12    8   20 O      20004075.357       0.950
 11    9   20 F      19999981.252       0.031
 10   10   20 Ne     19992440.17525     0.00165
  9   11   20 Na     20007354.301       1.190
  8   12   20 Mg     20018763.075       2.000
 16    5   21 B      21084147.485     599.750
 15    6   21 C      21049000#        640#
 14    7   21 N      21027087.573     143.906
 13    8   21 O      21008654.948      12.882
 12    9   21 F      20999948.893       1.932
 11   10   21 Ne     20993846.685       0.041
 10   11   21 Na     20997654.459       0.045
  9   12   21 Mg     21011705.764       0.810
  8   13   21 Al     21029082#        644#
 16    6   22 C      22057553.990     248.515
 15    7   22 N      22034100.918     223.060
 14    8   22 O      22009965.744      61.107
 13    9   22 F      22002998.812      13.310
 12   10   22 Ne     21991385.113       0.018
 11   11   22 Na     21994437.547       0.141
 10   12   22 Mg     21999570.597       0.170
  9   13   22 Al     22019540#        430#
  8   14   22 Si     22036114#        537#
 17    6   23 C      23068890#       1070#
 16    7   23 N      23039421.000     451.500
 15    8   23 O      23015696.686     130.663
 14    9   23 F      23003526.875      35.770
 13   10   23 Ne     22994466.905       0.112
 12   11   23 Na     22989769.28195     0.00194
 11   12   23 Mg     22994123.768       0.034
 10   13   23 Al     23007244.351       0.370
  9   14   23 Si     23025711#        537#
 17    7   24 N      24050390#        430#
 16    8   24 O      24019861.000     177.000
 15    9   24 F      24008099.370     104.853
 14   10   24 Ne     23993610.649       0.550
 13   11   24 Na     23990963.012       0.017
 12   12   24 Mg     23985041.689       0.013
 11   13   24 Al     23999947.598       0.244
 10   14   24 Si     24011535.430      20.904
  9   15   24 P      24036522#        537#
 18    7   25 N      25060100#        540#
 17    8   25 O      25029338.919     177.225
 16    9   25 F      25012167.727     103.535
 15   10   25 Ne     24997814.797      31.181
 14   11   25 Na     24989953.974       1.288
 13   12   25 Mg     24985836.966       0.050
 12   13   25 Al     24990428.308       0.069
 11   14   25 Si     25004108.798      10.735
 10   15   25 P      25021675#        429#
 18    8   26 O      26037210.155     177.081
 17    9   26 F      26020048.065     114.898
 16   10   26 Ne     26000516.496      19.784
 15   11   26 Na     25992634.649       3.759
 14   12   26 Mg     25982592.972       0.031
 13   13   26 Al     25986891.876       0.071
 12   14   26 Si     25992333.818       0.115
 11   15   26 P      26011780#        210#
 10   16   26 S      26029716#        644#
 19    8   27 O      27047955#        537#
 18    9   27 F      27026981.897     129.037
 17   10   27 Ne     27007569.462      97.445
 16   11   27 Na     26994076.408       4.000
 15   12   27 Mg     26984340.647       0.050
 14   13   27 Al     26981538.408       0.050
 13   14   27 Si     26986704.687       0.115
 12   15   27 P      26999292.499       9.662
 11   16   27 S      27018777#        430#
 20    8   28 O      28055910#        750#
 19    9   28 F      28035860.448     129.198
 18   10   28 Ne     28012130.767     135.339
 17   11   28 Na     27998939.000      11.000
 16   12   28 Mg     27983875.426       0.280
 15   13   28 Al     27981910.009       0.052
 14   14   28 Si     27976926.53442     0.00055
 13   15   28 P      27992326.460       1.231
